,"('A', 0)","('A', 1)","('O', 0)","('O', 1)","('R', 0)","('R', 1)"
0,1,1,0,1,0,1
1,1,0,0,2,0,0
2,0,1,1,0,0,2
3,1,0,1,2,0,0
4,0,1,2,0,0,2
5,1,1,0,0,0,1
6,0,1,2,1,0,2
7,1,1,1,1,0,1
8,1,1,1,1,0,1
9,1,1,0,0,0,1
10,1,1,1,0,0,1
11,0,1,2,1,0,2
12,0,1,2,1,0,2
13,1,1,0,1,0,1
14,0,1,2,0,0,2
15,1,1,1,0,0,1
16,0,1,2,0,0,2
17,0,1,2,0,0,2
18,1,0,0,0,0,0
19,0,1,2,0,0,2
20,1,0,0,2,0,0
21,1,1,1,0,0,1
22,1,1,1,0,0,0
23,1,0,0,1,0,0
24,0,1,2,0,0,2
25,1,0,0,2,0,0
26,0,1,2,0,0,2
27,1,1,0,1,0,1
28,1,0,2,2,0,0
29,0,1,0,0,0,2
30,1,1,0,0,0,0
31,0,1,2,1,0,2
32,1,1,0,0,0,1
33,1,0,0,2,0,0
34,0,1,2,0,0,2
35,1,0,0,2,0,0
36,1,0,0,2,0,0
37,0,1,2,0,0,2
38,1,1,0,0,0,1
39,0,1,2,0,0,2
40,0,1,2,2,0,2
41,1,1,0,0,0,1
42,1,1,0,0,0,0
43,0,1,2,0,0,2
44,0,1,2,1,0,2
45,0,1,2,1,0,2
46,0,1,2,0,0,2
47,1,1,0,0,0,1
48,1,1,0,1,0,1
49,1,0,1,2,0,0
50,0,1,0,1,0,2
51,0,1,2,0,0,2
52,1,1,0,1,0,1
53,0,1,2,0,0,2
54,0,1,2,1,0,2
55,1,1,0,0,0,1
56,1,1,0,0,0,0
57,1,1,1,0,0,1
58,0,1,0,1,0,2
59,1,1,0,0,0,1
60,1,1,1,1,0,1
61,1,1,1,0,0,1
62,1,1,0,0,0,1
63,0,1,0,0,0,2
64,0,1,2,0,0,2
65,0,1,2,0,0,2
66,0,1,2,0,0,2
67,1,0,0,0,0,0
68,0,1,2,1,0,2
69,0,1,2,0,0,2
70,1,1,0,0,0,1
71,1,1,1,0,0,1
72,1,1,0,0,0,0
73,0,1,2,2,0,2
74,1,1,1,1,0,0
75,0,1,2,0,0,2
76,1,1,0,1,0,1
77,1,1,0,0,0,1
78,0,1,2,0,0,2
79,0,1,2,0,0,2
80,0,1,2,0,0,2
81,0,1,0,0,0,2
82,1,1,1,0,0,1
83,0,1,2,0,0,2
84,0,1,2,1,0,2
85,1,1,0,0,0,1
86,0,1,0,0,0,2
87,1,1,0,1,0,1
88,1,0,0,0,0,0
89,1,1,0,1,0,1
90,1,1,1,1,0,1
91,1,1,1,2,0,1
92,0,1,2,0,0,2
93,1,1,1,1,0,1
94,1,1,0,1,0,0
95,1,1,0,0,0,1
96,1,1,0,0,0,0
97,0,1,2,0,0,2
98,1,1,0,0,0,0
99,1,1,0,0,0,1
100,1,1,0,1,0,1
101,1,1,0,0,0,0
102,1,1,0,0,0,0
103,0,1,1,1,0,2
104,1,1,1,0,0,1
105,0,1,2,0,0,2
106,0,1,0,1,0,2
107,0,1,0,1,0,2
108,1,1,0,1,0,1
109,1,1,1,0,0,1
110,0,1,2,0,0,2
111,1,1,0,0,0,0
112,0,1,2,1,0,2
113,1,1,1,1,0,1
114,1,0,1,0,0,0
115,0,1,0,0,0,2
116,0,1,1,0,0,2
117,1,1,1,0,0,0
118,1,1,0,1,0,1
119,0,1,2,0,0,2
120,0,1,2,0,0,2
121,0,1,2,1,0,2
122,0,1,2,0,0,2
123,1,0,0,2,0,0
124,1,1,0,1,0,0
125,0,1,2,1,0,2
126,0,1,2,0,0,2
127,0,1,2,0,0,2
128,1,1,0,0,0,1
129,0,1,2,0,0,2
130,0,1,2,1,0,2
131,1,0,1,2,0,0
132,0,1,2,1,0,2
133,1,1,0,0,0,1
134,0,1,2,1,0,2
135,0,1,2,0,0,2
136,0,1,2,0,0,2
137,1,1,1,0,0,1
138,0,1,2,1,0,2
139,1,1,1,0,0,1
140,1,1,1,0,0,1
141,1,1,1,0,0,1
142,1,1,0,0,0,0
143,1,0,0,1,0,0
144,0,1,2,1,0,2
145,0,1,2,0,0,2
146,0,1,2,1,0,2
147,0,1,2,0,0,2
148,1,0,0,2,0,0
149,0,1,2,0,0,2
150,1,0,1,2,0,0
