,"('A', 0)","('A', 1)","('A', 2)","('O', 0)","('O', 1)","('O', 2)","('R', 0)","('R', 1)","('R', 2)"
0,1,0,1,0,2,1,0,0,2
1,0,1,1,2,1,1,0,2,2
2,0,1,1,2,1,1,0,2,2
3,1,0,1,0,2,1,0,0,2
4,0,1,1,2,1,1,0,2,2
5,0,1,1,2,1,1,0,2,2
6,0,1,1,2,1,1,0,2,2
7,0,1,1,2,1,1,0,2,2
8,0,1,1,2,1,1,0,2,2
9,0,1,1,2,1,1,0,2,2
10,1,0,1,0,2,1,0,0,2
11,1,0,1,0,2,1,0,0,2
12,1,0,1,0,2,1,0,0,2
13,1,0,1,0,2,1,0,0,2
14,0,1,1,2,1,1,0,2,2
15,1,0,1,0,2,1,0,0,2
16,0,1,1,2,1,1,0,2,2
17,0,1,1,2,1,1,0,2,2
18,0,1,1,2,1,1,0,2,2
19,0,1,1,2,1,1,0,2,2
20,0,1,1,2,1,1,0,2,2
21,1,0,1,0,2,1,0,0,2
22,1,0,1,0,2,1,0,0,2
23,1,0,1,0,2,1,0,0,2
24,1,0,1,0,2,1,0,0,2
25,0,1,1,2,1,1,0,2,2
26,1,0,1,0,2,1,0,0,2
27,0,1,1,2,1,1,0,2,2
28,0,1,1,2,1,1,0,2,2
29,0,1,1,2,1,1,0,2,2
30,0,1,1,2,1,1,0,2,2
31,0,1,1,2,1,1,0,2,2
32,0,1,1,2,1,1,0,2,2
33,0,1,1,2,1,1,0,2,2
34,0,1,1,2,1,1,0,2,2
35,0,1,1,2,1,1,0,2,2
36,0,1,1,2,1,1,0,2,2
37,0,1,1,2,1,1,0,2,2
38,0,1,1,2,1,1,0,2,2
39,0,1,1,2,1,1,0,2,2
40,0,1,1,2,1,1,0,2,2
41,0,1,1,2,1,1,0,2,2
42,0,1,1,2,1,1,0,2,2
43,0,1,1,2,1,1,0,2,2
44,0,1,1,2,1,1,0,2,2
45,0,1,1,2,1,1,0,2,2
46,0,1,1,2,1,1,0,2,2
47,0,1,1,2,1,1,0,2,2
48,0,1,1,2,1,1,0,2,2
49,0,1,1,2,1,1,0,2,2
50,0,1,1,2,1,1,0,2,2
51,0,1,1,2,1,1,0,2,2
52,0,1,1,2,1,1,0,2,2
53,1,0,1,0,2,1,0,0,2
54,0,1,1,2,1,1,0,2,2
55,0,1,1,2,1,1,0,2,2
56,1,0,1,0,2,1,0,0,2
57,0,1,1,2,1,1,0,2,2
58,0,1,1,2,1,1,0,2,2
59,0,1,1,2,1,1,0,2,2
60,0,1,1,2,1,1,0,2,2
61,1,0,1,0,2,1,0,0,2
62,0,1,1,2,1,1,0,2,2
63,0,1,1,2,1,1,0,2,2
64,1,0,1,0,2,1,0,0,2
65,0,1,1,2,1,1,0,2,2
66,0,1,1,2,1,1,0,2,2
67,0,1,1,2,1,1,0,2,2
68,0,1,1,2,1,1,0,2,2
69,0,1,1,2,1,1,0,2,2
70,1,0,1,0,2,1,0,0,2
71,0,1,1,2,1,1,0,2,2
72,0,1,1,2,1,1,0,2,2
73,0,1,1,2,1,1,0,2,2
74,1,0,1,0,2,1,0,0,2
75,0,1,1,2,1,1,0,2,2
76,0,1,1,2,1,1,0,2,2
77,0,1,1,2,1,1,0,2,2
78,1,0,1,0,2,1,0,0,2
79,0,1,1,2,1,1,0,2,2
80,0,1,1,2,1,1,0,2,2
81,0,1,1,2,1,1,0,2,2
82,0,1,1,2,1,1,0,2,2
83,1,0,1,0,2,1,0,0,2
84,0,1,1,2,1,1,0,2,2
85,0,1,1,2,1,1,0,2,2
86,0,1,1,2,1,1,0,2,2
87,1,0,1,0,2,1,0,0,2
88,0,1,1,2,1,1,0,2,2
89,0,1,1,2,1,1,0,2,2
90,1,0,1,0,2,1,0,0,2
91,1,0,1,0,2,1,0,0,2
92,1,0,1,0,2,1,0,0,2
93,0,1,1,2,1,1,0,2,2
94,1,0,1,0,2,1,0,0,2
95,0,1,1,2,1,1,0,2,2
96,1,0,1,0,2,1,0,0,2
97,0,1,1,2,1,1,0,2,2
98,1,0,1,0,2,1,0,0,2
99,0,1,1,2,1,1,0,2,2
100,0,1,1,2,1,1,0,2,2
101,1,0,1,0,2,1,0,0,2
102,0,1,1,2,1,1,0,2,2
103,0,1,1,2,1,1,0,2,2
104,1,0,1,0,2,1,0,0,2
105,0,1,1,2,1,1,0,2,2
106,1,0,1,0,2,1,0,0,2
107,0,1,1,2,1,1,0,2,2
108,1,0,1,0,2,1,0,0,2
109,0,1,1,2,1,1,0,2,2
110,0,1,1,2,1,1,0,2,2
111,1,0,1,0,2,1,0,0,2
112,0,1,1,2,1,1,0,2,2
113,0,1,1,2,1,1,0,2,2
114,0,1,1,2,1,1,0,2,2
115,0,1,1,2,1,1,0,2,2
116,0,1,1,2,1,1,0,2,2
117,0,1,1,2,1,1,0,2,2
118,0,1,1,2,1,1,0,2,2
119,0,1,1,2,1,1,0,2,2
120,0,1,1,2,1,1,0,2,2
121,0,1,1,2,1,1,0,2,2
122,0,1,1,2,1,1,0,2,2
123,0,1,1,2,1,1,0,2,2
124,0,1,1,2,1,1,0,2,2
125,0,1,1,2,1,1,0,2,2
126,0,1,1,2,1,1,0,2,2
127,0,1,1,2,1,1,0,2,2
128,0,1,1,2,1,1,0,2,2
129,0,1,1,2,1,1,0,2,2
130,0,1,1,2,1,1,0,2,2
131,0,1,1,2,1,1,0,2,2
132,0,1,1,2,1,1,0,2,2
133,1,0,1,0,2,1,0,0,2
134,0,1,1,2,1,1,0,2,2
135,0,1,1,2,1,1,0,2,2
136,0,1,1,2,1,1,0,2,2
137,0,1,1,2,1,1,0,2,2
138,0,1,1,2,1,1,0,2,2
139,1,0,1,0,2,1,0,0,2
140,0,1,1,2,1,1,0,2,2
141,0,1,1,2,1,1,0,2,2
142,0,1,1,2,1,1,0,2,2
143,0,1,1,2,1,1,0,2,2
144,0,1,1,2,1,1,0,2,2
145,1,0,1,0,2,1,0,0,2
146,0,1,1,2,1,1,0,2,2
147,0,1,1,2,1,1,0,2,2
148,0,1,1,2,1,1,0,2,2
149,1,0,1,0,2,1,0,0,2
150,1,0,1,0,2,1,0,0,2
151,0,1,1,2,1,1,0,2,2
152,0,1,1,2,1,1,0,2,2
153,1,0,1,0,2,1,0,0,2
154,1,0,1,0,2,1,0,0,2
155,0,1,1,2,1,1,0,2,2
156,1,0,1,0,2,1,0,0,2
